English	Standard	Silêmanî	Hewlêr	Mehabad	Sine
Come in, please	دە فەرموو دەی	دە فەرموو دەی	دە فەرموو دەی	دە فەرموو دەی	دەی فەرموو دەی
I swear, I chased him to the council right there	وەڵا ڕاوم نا بۆ ئەنجومەنەکەی ئەو بەرە	وەڵا ڕاوم نا بۆ ئەنجومەنەکەی ئەو بەرە	وەڵا ڕاوم نا هەتا ئەنجومەنەکەی ئەوبەری	وەڵا ڕە پێم نا بۆ ئەنجومەنەکەی ئەو بەری	وەڵا ڕاوم نیا بەرەو ئەنجومەنەکەی ئەو بەرە
One time you say remove it, a second time you say reserve it	یەکەم جار ئەڵێی لایبە دووەم جار ئەڵێی حیجزی ئەکەم	یەکەم جار ئەڵێی لایبە دووەم جار ئەڵێی حیجزی ئەکەم	یەکەم جار دەرێی لایبە، دووەم جار دەرێی دەیگرم	یەکەم جار دەڵێی لایبە دووهەم جار دەڵێی ڕزروی کە	ئەوەڵ ڕا ئەیژی لایوە دووەم ڕا ئەیژی ڕزروی کە
Everyone goes with Kurdish clothes	خەڵک کە بە جلی کوردییەوە ئەچێ	خەڵک کە بە جلی کوردییەوە ئەچێ	خەرک کە بە جلکی کوردی دەڕوا	خەڵکی کە بە جلی کوردییەوە دەڕوا	خەڵک کە بە جل کوردییەو ئەچێ
That is none of your business	ئیلاقەی بە جەنابتەوە نییە	ئیلاقەی بە جەنابتەوە نییە	عیلاقەی بە جەنابتەوە نییە	ڕەبتێکی بە جەنابتەوە نێ	ڕەبتی بە جەنابتەو نییە
Don't go! Don't go!	نەڕۆی! نەڕۆی!	نەڕۆی! نەڕۆی!	نەچی! نەچی!	نەڕۆی! نەڕۆی!	نەچی! نەچی!
I swear no one loves and respects law as much as I do	وەڵای کەس بەقەد من قانوونی خۆش ناوێ ئیحترامی ناگرێ	وەڵای کەس بەقەی من قانوونی خۆش ناوێ ئیحترامی ناگرێ	وەڵا کەس بە قەدەرەمن قانوونی خۆش ناوێ ئیحتیرامی ناگری	وەڵڵاهی کەس بە قەد من قانوونی خۆش ناوێ ئیحترامی ناگرێ	وەڵا کە بە قەو من قانوونی خوەش ناگەرەک ئحترامی ناگرێ
What? Did you talk to me?	ها؟ لەگەڵ منتان بوو	ها؟ لەگەڵ منتان بوو	ها؟ لەگەر منتان بوو	ها؟ دەگەڵ منتان بوو	ها؟ لەتەک منتان بوو
They receive and they allow them	وەرئەگرن و ئیجازەیان ئەدەینێ	وەرئەگرن و ئیجازەیان ئەیەنێ	وەردەگرن و ئینجازەیان دەدەنێ	وەردەگرن و ئیجازەیان دەدەنێ	ئەگرن و ئیجازەیان پێ ئان
It doesn't have that of Kulera bread.	هینی کولێرەی پێوە نییە	هینی کولێرەی پێوە نییە	ئی کولێرەی پێوە نێ	ئی کوللێرەی پێوە نێ	هین کولێرەی پێو نییە
It doesn't have the thingy of Kulera bread.	هینی کولێرەی پێوە نییە	هینی کولێرەی پێوە نییە	هەرامەی کولێرەی پێوە نییە	ئی کوللێرەی پێوە نێ	هین کولێرەی پێو نییە
My dear, you have misunderstood. 	چاوەکەم ئێوە خراپ حاڵی بوون	چاوەکەم ئێوە خراپ حاڵی بوون	چاوەکەم ئەنگۆ خراپ حاری بووینە	چاوەکەم ئەنگۆ خراپ حاڵی بوون	چاوەکەم ئێوە خراو حاڵی بووگن
Well, we have two types of petrol.	وەڵا بەنزین دوو نۆعمان هەیە	وەڵا بەنزین دوو نۆعمان هەیە	وەڵا بەنزین دوو نەوعمان هەیە	وەڵا بەنزین دوو نەوعمان هەیە	وەڵا بنزین دوو نەوعمان هەس
He is right. I saw it on TV that they had their equipment.	ڕاست ئەکا لە تەلەفزۆندا بینیم کەل و پەلەکانیان بوو	ڕاست ئەکا لە تەلەفزۆنا بینیم کەل و پەلەکانیان بوو	ڕاست دەکا لە تەلەفزیۆن دیتم کەل و پەلەکانیان بوو	ڕاست دەکا لە تلویزیۆندا بینیم کەل و پەلەکانیان بوون	ڕاس ئەکا لە تلویزیۆنا دیم کەل و پەلەکانیان بوو
You don't get involved. 	تۆ خۆتی تێ هەڵمەقورتێنە	تۆ خۆتی تێ هەڵمەقورتێنە	ئەتوو خۆ تێ هەرمەقوتێنە	ئەتۆ خۆتی تێ هەڵمەقورتێنە	تۆ خوەتی تێ هەڵمەقورتنە
Yes, sure.	بەڵێ باشە	بەڵێ باشە	بەرێ باشە	بەڵێ باشە	بەڵێ باشە
The oppressed generation, the squeezed and poor generation	چینی چەوساوە و چینی فلیقاوە و هەژار	چینی چەوساوە و چینی فلیقاوە و هەژار	چینی چاوەساوە و چینی فلیقاوە و هەژار	چینی چەوساوە و چینی فلیقاوە و هەژار	چین چەوسیاگ و چین فلیقیاگ و هەژار
It is made for this thing.	بۆ ئەم شتە دانراوە	بۆ ئەم شتە دانراوە	لۆ ئەو شتەی داندرایە	بۆ ئەو شتەی داندراوە	بۆ ئەم چتە دانریاگە
I say it's ours, I don't mean to say that	ئەڵێم هی خۆمانە مەخسەدم ئەوە نییە کە بڵێم	ئەڵێم هی خۆمانە مەخسەدم ئەوە نییە کە بڵێم	دەرێم ئی خۆمانە، مەخسەدم ئەوە نییە کە برێم	دەڵێم ئی خۆمانە مەنزوورم ئەوە نێ کە بڵێم	ئەیژم هین خوەمانە مەنزوورم ئەوە نییە کە بێژم
Yeah, if that so, you have bought from me as much as six thousands	ئێ وا بێ بای شەش هەزار شتت لێ کڕیوم	ئێ وا بێ بای شەش هەزار شتت لێ کڕیوم	ئێ ئەوها بی بایی شەش هەزار چشتت لێ کڕیمە	ئەدی وا بێ بای شەش هەزاری شتت لێ کڕیوم	ئەی وا بێ شەش هەزار چتت لێم سەندگە
No one dares to mess with you, dear	کەس حەدی نییە بە تۆ ڕابوێرێ بە قوربان	کەس حەدی نییە بە تۆ ڕابوێرێ بە قوربان	کەس حەددی نییە بە تو ڕابوێری چاوەکەم	کەس حەدی نییە بۆ تۆ ڕابوێرێ بە قوربان	کەسێک حەدی نییە تیتاڵیت پێ بکا خوا قەزات
He brought it to you in the midnight	نیوەشەو بۆی هێناوی	نیوەشەو بۆی هێناوی	نیوەشەوێ لۆی هینای	نیوەشەوێ بۆی هێناوی	نیمەشەو بۆتی هاورگە
Come on, you did not understood well.	چاک تێنەگەیشتی کورە	چاک تێنەگەیشتی کورە	باش تێنەگەیشتی کورە	چاک تێنەگەیشتی کوڕە	خاس تێنەگەیگی کورە
Why? Am I Hammurabi that he runs over me	بۆ من حاموڕابیم ئینجا بمکا بە ژێرەوە	بۆ من حاموڕابیم ئینجا بمکا بە ژێرەوە	لۆ چما ئەمن حاموڕابیمە ئەوجا بمکاتە بنەوە	بۆ ئەمن حاموڕابیم جا بمکا بە ژێرەوە	بۆچە من حاموڕابیم جا بمکا بە ژێرەو
So that people can use it	بۆ ئەوەی خەڵک ئیسفادەی لێ بکا	بۆ ئەوەی خەڵک ئیسفادەی لێ بکا	لۆ ئەوەی خەرک ئیستیفادە لێ بکا	بۆ ئەوەی خەڵکی ئیستفادەی لێ بکا	بۆ ئەوە خەڵک ئستفادەی لێ بکا
I swear that policeman is right. Honestly, I don't know.	بەخوا ڕاست ئەکا ئەو پۆلیسە وەڵاهی نازانم	بەخوا ڕاست ئەکا ئەو پۆلیسە وەڵاهی نازانم	بەخوای ڕاست دەکا ئەو پۆلیسەی وەڵاهی نازانم	بەخودای ڕاست دەکا ئەو پۆلیسەی وەڵاهی نازانم	بەخوا ڕاس ئەکا ئەو پولیسە وەڵا نازانم
Haven't you heard that the Earth rests on a bull's back	ناڵێن دنیا لەسەر پشتی گایە	ناڵێن دنیا لەسەر پشتی گایە	ئەدی نارێن دنیا لەسەر پشتی گایە	ناڵێن دنیا لەسەر پشتی گایە	نایژن دنیا لە سەر پشت گاس
Hey dude, why don't you pick yourself up and go after your business 	ئەرێ کاکە تۆ بۆ هەڵناستی بچی بەلای ئیشتەوە	ئەرێ کاکە تۆ بۆ هەڵناستی بچی بەلای ئیشتەوە	ئەرێ کاکە ئەتوو لۆ هەرناستی بچییە دوو ئیشت	ئەرێ کاکە ئەتۆ بۆ هەڵناستی بڕۆی بە دووی کارتەوە	ئەرێ کاکە تۆ بۆچە هەڵناسی بچی بە لای کارتەو
Oh my god, that's crazy!	بەخوا سەیرە	بەخوا سەیرە	بەخوای سەیرە 	بە خودای سەیرە	بەخوا سەیرە
Come here, come here. Of course I know now.	وەرە ئێرە وەرە ئەی چۆن ئەزانم ئێستە	وەرە ئێرە وەرە ئەی چۆن ئەزانم ئێستە	وەرە ئێرە وەرە ئەدی کوو دەزانم ئێستا	وەرە ئێرە وەرە ئەدی چۆن دەزانم ئێستە	بێرە ئێرە بێرەو ئەی چۆن ئەزانم ئیسە
Those countries that have moral police have a lot of policemen.	ئەو وڵاتانەی کە پۆلیسی ئادابیان هەیە پۆلیسێکی زۆریان هەیە	ئەو وڵاتانەی کە پۆلیسی ئادابیان هەیە پۆلیسێکی زۆریان هەیە	ئەو وڵاتانەی پۆلیسی ئادابیان هەیە پۆلیسەکی زۆریان هەیە	ئەو وڵاتانەی کە پۆلیسی ئادابیان هەیە پۆلیسێکی زۆریان هەیە	ئەو وڵاتگەلە کە پولیس ئادابیان هەس پۆلیسێک فرەیان هەس
If you're called Muhammad Karim, then you are not from the municipality.	کەی تۆ ناوت حەمە کەریمە تۆ شارەوانی نیت	کەی تۆ ناوت حەمە کەریمە تۆ شارەوانی نیت	کەنگی ئەتوو ناوت حەمە کەریمە ئەتوو شارەوانی نی	کەنگێ ئەتۆ نێوت حەمە کەریمە ئەتۆ شارەوانی نی	کەی تۆ ناوت حەمە کەریمە تۆ شارەوانی نیت
Alright, have you ever seen a sheep?	ئێ باشە قەت مەڕێکت دیوە	ئێ باشە قەت مەڕێکت دیوە	ئێ باشە قەت مەڕەکت دیتییە	ئەدی باشە قەت مەڕێکت دیوە	دەی باشە هیچوەخت پەزێکت دیگە
But why, Mr. Karim, don't you follow him?	بەڵام ئەلێم کاک کەریم بۆ بە قسەی ناکەی	بەڵام ئەلێم کاک کەریم بۆ بە قسەی ناکەی	بەس دەرێم کاک کەریم لۆ بە قسەی ناکەی	بەڵام دەلێم کاک کەریم بۆ بە قسەی ناکەی	وەلێ ئەیژم کا کەریم بۆچە بە قسەی ناکەی
Whatever. I take it and leave. I won't stay around anymore.	تەواو کاکە هەڵیئەگرم ئەڕۆم هەر لەم ناوەدا نامێنم	تەواو کاکە هەڵیئەگرم ئەڕۆم هەر لەم ناوەیا نامێنم	تەواو کاکە هەریدەگرم دەڕۆم لەو دەوروبەرەی نامینێم	باشە کاکە هەڵیدەگرم دەڕۆم هەر دەو ناوەیدا نامێنم	باشە کاکە هەڵیئەگرم ئەڕم هەر لەم ناوە نامێنم
Look! Look! What are you laughing at exactly?	ئادەی ئادەی جوان جوان سەیرم کە بە چی پێ ئەکەنی	ئادەی ئادەی جوان جوان سەیرم کە بە چی پێ ئەکەنی	کا کا جوان جوان تەماشام کە بە چ پێدەکەنی	ئادەی ئادەی جوان جوان سەیرم کە بە چی پێ دەکەنی	ئادەی ئادەی خاس خاس تواشام کە بە چی ئەکەنی
He is right cause it just came to him by message now.	ڕاس ئەکا ئاخر ئێسا بە مەسج بۆی هات	ڕاس ئەکا ئاخر ئێسا بە مەسج بۆی هاوو	ڕاست دەکا ئاخە ئێستا بە نامە لۆی هات	ڕاست دەکا ئاخە ئێستە بە پەیام بۆی هات	ڕاس ئەکا ئاخر ئیسە بە پەیام بۆی هات
OK how much is petrol, please?	ئەی بەنزین بە چەنە زەحمەت نەبێ	ئەی بەنزین بە چەنە زەحمەت نەبێ	ئەدی بەنزین بە چەندییە زەحمەت نەبی	ئەدی بەنزین بە چەندی زەحمەت نەبێ	ئەی بنزین چەنێکە بێ زەحمەت
Oh, how you are not welcomed!	دەک بە خێر نەیەنەوە یاخوا	دەک بە خێر نەیەنەوە یاخوا	ئەی بەخێر نێیەوە یاخوە	دەک بە خێر نەیەنەوە یاخودا	ئەی بە خەیر نەینەو یاخوا
Oh, you don't have a bit of respect for law.	ئەوە تۆ یەک دەنک ئیحترامی قانوونت لا نییە	ئەوە تۆ یەک دەنک ئیحترامی قانوونت لا نییە	ئەوە ئەتوو هیچ ئیحتیرامی قانوونت لە کن نییە	ئەوە ئەتۆ یەک دەنک ئیحترامی قانوونت لا نییە	ئەوە تۆ هیچێ ئیحترام قانوونت لا نییە
For that, one should only scream on him to say	ئەوە هەر هەقە هاواری لێ بکەی بڵێی	ئەوە هەر هەقە هاواری لێ بکەی بڵێی	ئەوە هەر حەقە هاواری لێ بکەی برێی	ئەوە هەر هەقە هاواری لێ بکەی بڵێی	ئەوە هەر هەقە هاواری لێ بکەی بێژی
This guy doesn't have a problem; we are old and disabled	ئەم کوڕە عەیبی نییە ئێمە پیر و پەکەوتەین	ئەم کوڕە عەیبی نییە ئێمە پیر و پەکەوتەین	ئەو کوڕە عەیبی نییە ئەمە پیر و کەترەینە 	ئەم کوڕە عەیبی نییە ئێمە پیر و پەککەوتەین	ئەم کوڕە عەیبی نییە ئێمە پیر و پەککەفتگتین
This guy doesn't have a problem; we are old and disabled	ئەم کوڕە عەیبی نییە ئێمە پیر و پەکەوتەین	ئەم کوڕە عەیبی نییە ئێمە پیر و پەکەوتەین	ئەو کوڕە عەیبی نییە ئەمە پیر و پەککەوتەینە	ئەم کوڕە عەیبی نییە ئێمە پیر و پەککەوتەین	ئەم کوڕە عەیبی نییە ئێمە پیر و پەککەفتگتین
You come back after six months	تۆ شەش مانگی کە وەرەوە	تۆ شەش مانگی کە وەرەوە	ئەتوو شەش مانگی کە وەرەوە	ئەتۆ شەش مانگی دی وەرەوە	تۆ شەش مانگ تر بێرەو
What opium and smuggled gold? What have you thought about here?	کوا تلیاکی چی و ئاڵتونی قاچاغی چی بۆ ئێرە بە کوێ ئەزانی تۆ	کوا تلیاکی چی و ئاڵتونی قاچاغی چی بۆ ئێرە بە کوێ ئەزانی تۆ	کا تلیاکی چ و زێڕی قاچاغی چ لۆ ئێرە بە کێندەر تێگەیشتی ئەتوو	لە کۆ تلیاکی چی و زێڕی قاچاغی چی بۆ ئێرە بە کۆ دەزانی ئەتۆ	کوا تلیاک چە و تەڵای قاچاغ چە بۆچە ئێرە بە کوێ ئەزانی تۆ
I don't say anything but they are liars.	من هیچ ناڵێم بەڵام درۆزنن	من هیچ ناڵێم بەڵام درۆزنن	ئەمن هیچ نارێم بەس درۆزنن	ئەمن هیچ ناڵێم بەڵام درۆزنن	من هیچێ نایژم وەلێ درۆزنن
OK, but what wrong? Make the call with the hospital telephone.	ئێ جا قەی چی ئەکا، بە نۆرماڵەکەی خەستەخانە بیکە	ئێ جا قەی چی ئەکا، بە نۆرماڵەکەی خەستەخانە بیکە	ئێ ئەوجا قەیدی ناکا، بە تەلەفۆنەکەی خەستەخانەی بیکە	دە جا چ قەیدێکی دەکا، بە ژمارەی بیمارستانێ بیکە	دە قەی چە ئەکا، بە شومارەی بیمارستان بیکە
Here I say it's not ours.	ئێرە من ئەڵێم هینی خۆمان نییە	ئێرە من ئەڵێم هینی خۆمان نییە	ئێرە ئەمن دەرێم ئی خۆمان نییە	ئێرە ئەمن دەڵێم ئی خۆمان نییە	ئێرە من ئەیژم هین خوەمان نییە
You talk about those stuffs, the Kurdish national products 	تۆ باسی ئەو هینانە بکە بەرهەمە نیشتیمانیە کوردییەکان	تۆ باسی ئەو هینانە بکە بەرهەمە نیشتیمانیە کوردییەکان	ئەتوو باسی ئەوانە بکە بەرهەمە نیشتیمانییە کوردییەکان	ئەتۆ باسی ئەو وانێکانە بکە بەرهەمە نیشتیمانییە کوردییەکان	تۆ باس ئەو هینگەلە بکە بەرهەمە نیشتمانییە کوردییەکان
I bother you	من ئێوە ئیزعاج ئەکەم	من ئێوە ئیزعاج ئەکەم	ئەمن ئەنگۆ ئیزعاج ناکەم	ئەمن نگۆ ناڕەحەت دەکەم	من ئێوە ناڕەحەت ئەکەم
Uncle, we have two.	خاڵە گیان دوانمان هەیە	خاڵە گیان دوانمان هەیە	خارە گیان دوومان هەیە	خاڵە گیان دوانمان هەیە	خاڵۆ گیان دوانمان هەس
You look at this miserable! My father, I am a policeman	تۆ سەیری ئا ئەم نەگبەتە کە! باوکی من، من پۆلیسم	تۆ سەیری ئا ئەم نەگبەتە کە! باوکی من، من پۆلیسم	ئەتوو تەماشا ئەو فەقیرحارەی کە! بابی من، ئەمن پۆلیسم	ئەتۆ چاو لەم نەگبەتە کە! بابی من، ئەمن پۆلیسم	تۆ تواشای ئا ئەم نەگبەتە کە! باوک من، من پولیسم
OK, why does he need ears? Tell me so that he also listens.	ئێ بابە گوێچکەی بۆ چییە پێم بڵێ با ئەویش گوێی لێبێ	ئێ بابە گوێچکەی بۆ چییە پێم بڵێ با ئەویش گوێی لێبێ	ئێ بابە گوێی لۆ چییە پێم برێ با ئەویش گوێی لێ بی	دە بابە گۆی بۆ چێ پێم بڵێ با ئەویش گۆی لێ بێ	دەی باوا گوێچکەی بۆ چەس پێم بێژە با ئەویش گوێچکەی لێ بێ
One would say you have no clue, you hapless	کورە ئەمە تۆ ئەڵێی لە گوێی گادا خەوتووی مردوو مرێ	کورە ئەمە تۆ ئەڵێی لە گوێی گایا خەوتووی مردوو مرێ	کورە ئەوە ئەتوو دەرێی لە گوێی گای نووستی مارت کاول نەبی	کوڕە ئەوە ئەتۆ دەڵێی دە گۆی گادا نووستووی ماڵتا	کورە ئەمە تۆ چما لە گوێچکەی گا خەفتگی ماڵت ئاوا
He has misunderstood. Give glad tidings to him.	وەڵا خراپی تێگەیشتووە موژدەی بەرێ	وەڵا خراپی تێگەیشتووە موژدەی بەرێ	وەڵا خراپ تێگەیشتییە موژدەی بدێ	وەڵا خراپ تێگەیشتووە موژدەی دەیە	وەڵا خراو تێگەیگە موژدەی پێ بە
You think they have stopped these ridiculous acts?	وا ئەزانی ئەم فعلە قۆڕانەیان نەماوە	وا ئەزانی ئەم فعلە قۆڕانەیان نەماوە	وا دەزانی ئەو فعلە قۆڕانەیان نەمایە	وا دەزانی ئەم کارە قۆڕانەیان نەماوە	وا ئەزانی ئەم کارە قۆڕگەلیانە نەماگە
Whatever! You're leaving it, you're not leaving it, to hell.	حەی حەی کوڕە چۆڵی ئەکەی چۆڵی ناکەی بە جەهەنەم	حەی حەی کوڕە چۆڵی ئەکەی چۆڵی ناکەی بە جەهەنەم	ئەی ئەی کورە چۆلی نەکەی چۆلی ناکەی بە جەهەننەم	حەی حەی کوڕە چۆڵی دەکەی چۆڵی ناکەی بە جەهەندەم	حەی حەی کورە چۆڵی ئەکەی چۆڵی ناکەی بە جەهەنەم
Come so that I tell you.	وەرە با پێو بڵێم	وەرە با پێو بڵێم	وەرە با پێت برێم	وەرە با پێت بڵێم	بێ با پێت بێژم
Oh, please man, I myself like to not be here.	دە تخوا کاکە گیان خۆم حەز ئەکەم لێرەدا نەبم	دە تخوا کاکە گیان خۆم حەز ئەکەم لێرەیا نەبم	دە تخوا کاکە گیان بەخۆم حەزم لێیە لێرە نەبم	دە توخودا کاکە گیان بۆخۆم پێم خۆشە لێرەدا نەبم	دەی تخوا کاکە گیان خوەم حەز ئەکەم لێرا نەوم
He should have gone inside.	دەبا بچوا ژوورەوە	دەبا بچوا ژوورەوە	دەبا بچووبا ژۆرێ	دەبا چووبایە ژوورەوە	مەشیا بچوایتە ماڵەو
Yes of course, it had an issue.	ئەروەڵا نوقسانی هەبوو ئەی چۆن	ئەروەڵا نوقسانی هەبوو ئەی چۆن	ئەرێوەڵا نوقستانی هەبوو ئەدی کوو	ئەرێ وەڵڵا نوقسانی هەبوو ئەی چۆن	ئەڕێ وەڵڵا نوقسانی بوو ئەی چۆن
Only you are an experienced person and that's it.	بەس تۆ پیاوێکی بەتەجروبەیت و تەواو	بەس تۆ پیاوێکی بەتەجروبەیت و تەواو	 بەس ئەتوو پیاوەکی بەتەجروبەی و تەواو	فەقەت ئەتۆ پیاوێکی بەتەجروبەیت و تەواو	فەقەت تۆ پیاگێک باتەجروبەیت و تواو
Oh no, why is it forbidden?	ئێڕۆ بۆچی مەمنووعە	ئێڕۆ بۆچی مەمنووعە	ئەیڕۆ لۆ مەمنووعە	ئێڕۆ بۆچی مەمنووعە	ئەیەڕۆ بۆچە مەمنووعە
What is it? Do you want to mess with me?	چییە ئەتانەوێ پێم ڕابوێرن	چییە ئەتانەوێ پێم ڕابوێرن	چییە دەتانهەوێ پێم ڕابوێرن	چییە دەتانەوێ پێم ڕابوێرن	چەس گەرەکتانە تیتاڵیم پێ بکەن
This is not being pulled. It is being picked.	ئەمە ڕاناکێشرێ ئەمە هەڵەگیرێ	ئەمە ڕاناکێشرێ ئەمە هەڵەگیرێ	ئەوە ڕاناکێشرێ ئەوە هەردەگیرێ	ئەمە ڕاناکێشدرێ ئەمە هەڵدەگیردرێ	ئەمە ڕاناکێشگێ ئەمە هەڵەگیرگێ
God bless you	ڕەحمە لە دینی	ڕەحمە لە دینی	ڕەحمەت لە دینی	ڕەحمەت لە دینی	ڕەحمە لە دینی
You are so stingy! Come on, make him four.	دە ئەوەندە ڕەزیلی دە چوار دانەی بۆ دروست کە	دە ئەوەنە ڕەزیلی دە چوار دانەی بۆ دروست کە	ئاخە ئۆندە ڕەزیلی دە چارقلی لۆ درووست کە	دە ئەوەندە ڕەزیلی دە چوار دانەی بۆ ساز کە	ئاخر ئەونە ڕەزیلی دەی چوار دانەی بۆ درووس کە
After all, Mrs. Badri, you are weird. That is surgery of cosmetics and stomach and etc  	ئاخر بەدری خان تۆ زۆر سەیری ئەوە عەمەلیاتی تەجمیل و ورگ و شتە	ئاخر بەدری خان تۆ زۆر سەیری ئەوە عەمەلیاتی تەجمیل و ورگ و شتە	ئاخە بەدری خان ئەتوو زۆر تەماشای ئەوە عەمەلیاتی تەجمیل و ورگ و چشتە	ئاخر بەدری خانم ئەتۆ زۆر سەیری ئەوە عەمەلی جوانی و ورگ و شتە	ئاخر بەدری خانم تۆ فرە سەیری ئەوە عەمەڵ زەریفی و ورگ و چتە
Instead of saying congratulations and thank you	لە جیاتی ئەوەی بڵێی پیرۆز بێ دەستو خۆش بێ	لە جیاتی ئەوەی بڵێی پیرۆز بێ دەستو خۆش بێ	لە جیاتی ئەوەی برێی پیرۆزبی دەستت خۆش بی	لە باتی وەی بڵێی پیرۆز بێ دەستت خۆش بێ	لە جیاتی ئەوە بێژی پیرۆز بێ دەسۆ خوەش بێ
He is the owner of this place. Now he can.  	ئەوە ساحێبی ئێرەیە ئێستە ئەتوانێ	ئەوە ساحێبی ئێرەیە ئێستە ئەتوانێ	ئەو ساحێبی ئێرەیە ئێستا دەتانی	ئەوە ساحێبی ئێرەیە ئێستا دەتوانێ	ئەوە ساحێو ئێرەسە ئیسە ئەتوانێ
When he comes, please sir, go from here, OK?	کە ئەو هات فەرموو جەناب ئە بەوێدا بڕۆ، باشە؟	کە ئەو هات فەرموو جەناب ئە بەویا بڕۆ، باشە؟	وەختی ئەو هات فەرموو جەناب ها بێرەدا بڕۆ، باشە؟	ئەگەر ئەو هات فەرموو جەناب ئە بەوێدا بڕۆ، باشە؟	وەختێ ئەو هات فەرموو جەناب ئا لێرەو بڕۆ، باشە؟
What business? Yeah, I heard him.	ئیشی چی و شتی چی ئەرێ گوێم لێ بوو ئەوە	ئیشی چی و شتی چی ئەرێ گوێم لێ بوو ئەوە	ئیشی چ و شتی چ ئەرێ گوێم لەوەی بوو	کاری چی و شتی چی ئەدی گۆم لەوەی بوو	کار چە و چت چە ئەرێ گوێچکەم لێ بوو ئەوە
Now, you were saying sir. Is there any order that we can take care of for you?	ئێستا جەنابت نەتفەرموو. ئەمرێک هەیە ئێمە بۆت جێبەجێ کەین؟	ئێستا جەنابو نەوفەرموو. ئەمرێک هەیە ئێمە بۆو جێبەجێ کەین؟	ئێستا جەنابت دەتفەرموو، ئەمرەکت هەیە ئەمە لۆت جێبەجێ کەین؟	ئێستا جەنابت نەتفەرموو ئەمرێک هەیە ئەمە بۆت جێبەجێ بکەین؟	ئیسە جەنابۆ نەوفەرموو، ئەمرێک هەس ئێمە بۆت جێبەجێ کەین؟
