English	Standard	Silêmanî	Hewlêr	Mehabad	Sine
My kidney is aching, this one is for my kidney, the other one for your kidney.	ورچیلەم ئەیشێ، ئەمە بۆ ورچیلەی خۆم، ئەمیش بۆ ورچیلەی ئێوە	ورچیلەم ئەیشێ، ئەمە بۆ ورچیلەی خۆم، ئەمیش بۆ ورچیلەی ئێوە	کلیەم دێشی، ئەوە لۆ کلیەی خۆم، ئەوەش لۆ کلیەی نگۆ	کولیەم دەیشێ، ئەوە بۆ کولیەی خۆم، ئەوەیشی بۆ کولیەی نگۆ	کولیەم ئەیشێ، ئامە بۆ کولیەی خوەم، ئەمیش بۆ کولیەی ئێوە
Why did you come down?	ئێوە بۆ هاتنە خوارەوە؟	ئێوە بۆ هاتنە خوارەوە؟	ئەنگۆ لۆ هاتنە خوارێ؟	ئەنگۆ بۆ تەشریفوو هێنا خوارێ؟	ئێوە بۆچە تەشریفتان هاوردە خوارەو؟
Bravo, you don't have an accent.	ئافەرین بێ لەهجەی	ئافەرین بێ لەهجەی	ئافەرین بێ لەهجەی	ئافەرین بێ لەهجەی	ئافەرین بدوونە لەهجەی
Just wait, don't rush me.	دە بوەستە، پەلەم لێ مەکە	دە بوەستە، پەلەم لێ مەکە	ڕاوەستە ڕا، عەجەلەم لێ مەکە	ڕاوەستە ڕا، پەلەم لێ مەکە	بوێسە دەی، هەوڵم مەکە
Bring your house's deed after me.	قەباڵەی ماڵەکەی خۆت بێنە بە شوێنمدا	قەباڵەی ماڵەکەی خۆت بێنە بە شوێنما	قەبارەی مارەکەی خۆت بینە بە دوومدا	سەنەدی ماڵەکەی خۆت بێنە بە دوومدا	سەنەد ماڵەکەی خوەت بێرا شوێنما
It looks like you have reconciled.	وا دیارە ئاشت بوونەتەوە	وا دیارە ئاشت بوونەتەوە	پێ دەچی پێکهاتبنەوە	وێ دەچێ واشت بووبێتنەوە	وەکچتێ ئاشتیان بووەسەو
It was better back then, you were a bit resilient.	جاران باش بوویت، تۆزێ خۆڕاگر بوویت	جاران باش بوویت، تۆزێ خۆڕاگر بوویت	پێشتر باش بوی هەندەک خۆ ڕاگرتر بووی	جاران باش بووی، نیسکێک دەرووندار بوویت	جاران خاس بوویت، چکێ دەرووندار بوویت
I am exhausted.	لە شان و کۆڵ کەوتم	لە شان و کۆڵ کەوتم	تاقەتم نەما	داهێزام	لە شان و کۆڵ کەفتم
It's good for your bad breath, eat it.	بۆ بۆنی دەمت باشە، بیخۆ	بۆ بۆنی دەمت باشە، بیخۆ	لۆ بۆنی دەوت باشە، بیخۆ	بۆ بۆنی زارت باشە، بیخۆ	بۆ تام دەمو خاسە، بیخوە
But you have to leave from here.	بەڵام ئەبێ لێرە بڕۆی	بەڵام ئەبێ لێرە بڕۆی	بەس دەبی لێرە بڕۆی	وەلی دەبێ لێرە بڕۆی	وەلێ ئەشێ ئا لێرەو بڕی
Mr. director suggested to give me one of the main roles. 	کاکی موخریج پێشنیاری داوە یەکێ لە دەورە سەرەکییەکانم بداتێ	کاکی موخریج پێشنیاری داوە یەکێ لە دەورە سەرەکییەکانم باتێ	کاکی موخریج بڕیاری دایە یەکەک لە دەورە سەرەکیەکانم بداتێ 	ئاغەی کارگەردان پێشنەهادی داوە یەکێ لە نەقشە ئەسڵییەکانم داتێ	ئاغەی کارگەردان پێشنەهادی داگە دانێ لە نەقشە ئەسڵیەکانی با پێم
I recognize my son's smell.	من بۆنی کوڕی خۆم ئەناسم	من بۆنی کوڕی خۆم ئەناسم	ئەمن بۆنی کوڕی خۆم دەناسمەوە	ئەمن بۆنی کوڕی خۆم دەناسم	من بوی کوڕ خۆم ئەشناسم
He bothered you well.	باش عەزیەتی داون	باش عەزیەتی داون	باش عەزیەتی داینە	باش موزاحیموو بووە	خاس موزاحمتان بووە
Come in.	فەرموون	فەرموون	فەرموون	فەرموون	فەرموون
He is like a calf.	وەک گوێرەکەیە	وەک گوێرەکەیە	وەکی گۆلکیە	وەک گۆلکە	وەسە گوێرەکە
OK dear Nasrin, thanks.	باشە نەسرین گیان، دەست خۆش بێ	باشە نەسرین گیان، دەسو خۆش بێ	باشە نەسرین گیان، دەستت خۆش بی	باشە نەسرین گیان، دەستت خۆش بێ	باشە نەسرین گیان، دەسۆ خوەش بێ
Watch his tongue! It looks like bread.	سەیر زمانی ئەو! ئەڵێی نانە	سەیر زمانی ئەو! ئەڵێی نانە	تەمەشای زمانی! دەرێی نانە	چاو زمانی وی! دەڵێی نانە	ورد زوان ئەوە! ئەیژی نانە
Once twice thrice! Only you forget.	جارێک دوان سێیان! هەر تۆ لە بیر ئەکەیتەوە	جارێک دوان سێیان! هەر تۆ لە بیر ئەکەیتەوە	جارەک دوو جار سێ جار! ئەتو هەر لە بیرت دەچیتەوە	جارێکی دوو جار سێ جار! هەر ئەتۆ بیرت دەچێتەوە	ڕایک دوان سێیان! هەر تۆ لە بیرت ئەچێتەو
He is laughing with me.	خەریکە پێ ئەکەنێ لەگەڵمدا	خەریکە پێ ئەکەنێ لەگەڵما	خەریکە پێدەکەنی لەگەرم	خەریکە پێ دەکەنێ دەگەڵمدا	خەریکە ئەکەنێ تەکما
You are worse than him.	تۆش لە ئەو خراپتریت	تۆش لە ئەو خراپتریت	ئەتووش لەو خراتری	ئەتۆش لە وی خراپتری	تویش لەو خراوتریت
You cannot even walk! Get off.	تۆ هەر ناتوانی بچی بە ڕێدا! دابەزە	تۆ هەر ناتوانی بچی بە ڕێیا! دابەزە	ئەتوو هەر ناتانی بە ڕێیێ دا بڕۆی! دابەزە	ئەتۆ هەر ناتوانی بڕۆی بە ڕێدا! دابەزە	تۆ هەر ناتانی بچیتە ڕێیا! داخۆزە
Which one, sir?	کامە کاکە؟	کامە کاکە؟	کێهانیان کاکە؟	کێهە کاکە؟	کامە کاکە؟
A car came.	سەیارەیک هات	سەیارەیک هات	سەیارەک هات	ماشێنێک هات	ماشینێک هات
Thanks, welcome.	ماڵت ئاوا، بە خێر بی	ماڵت ئاوا، بە خێر بی	مارت ئاوەدان، خێردارە	ماڵت ئاوەدان، بە خێر بی	خانەت ئاوا، بە خەیر بی
What are these noise and scream and shriek all about?	ئەمە چییە زرم و زام و هەرا و قوولەقوول و فیڕەفیر؟!	ئەمە چییە زرم و زام و هەرا و قوولەقوول و فیڕەفیر؟!	ئەوە چییە جیقەجیق و هەرا و قوولەقوول و فیڕەفیڕ؟!	ئەوە چێ جیقەجیق و هەرا و قوولەقوول و فیڕەفیڕ؟!	چەس ئەمە زرم و زام و هەرا و قوولەقوول و فیڕەفیڕ؟!
Mom! What about the flower basket? Did you forget those?	دایە! ئەی سەوەتەی گوڵەکە؟ ئەوانەت لە بیر چوو؟	دایە! ئەی سەوەتەی گوڵەکە؟ ئەوانەت لە بیر چوو؟	دایە! ئەی سەلەی گوڵەکە؟ ئەوانەت لە فکر چوو؟	دایە! ئەدی سەوەتەی گوڵەکەی؟ ئەوانتە لە بیر چوون؟	دایە! ئەی سەبەد گوڵەکە؟ ئەوانتە لە بیر چوو؟
I have something to do, give it to me.	ئیشم ئەوەیە، بمدەرێ	ئیشم ئەوەیە، بمەرێ	ئیشم ئەوەیە، بمدێ	کارم ئەوەیە، بمدەیە	کارم ئەوەسە، بیە من
Don't laugh.	پێ مەکەنە	پێ مەکەنە	پێ مەکەنە	پێ مەکەنە	مەکەنە
Slowly, dear lady, slowly	ئارام دادە گیان، ئارام	ئارام دادە گیان، ئارام	سەبر دادە گیان، سەبر	ئارام دادە گیان، ئارام	ئارام دادە گیان، ئارام
Well, you don't nominate yourself?	باشە، ئێوە خۆتان کاندید ناکەن؟	باشە، ئێوە خۆتان کاندید ناکەن؟	باشە، ئەنگۆ خۆتان کاندید ناکەن؟	باشە، ئەنگۆ خۆتان کاندید ناکەن؟	باشە، ئێوە خوەتان کاندید ناکەن؟
What is bracelet, Kle?	بازنە چییە، کڵێ؟	بازنە چییە، کڵێ؟	بازنە چییە، کڵێ؟	بازنە چییە، کڵێ؟	خرخاڵ چەس، کڵێ؟
But they are guests, what can I do to them?	دەی میوانن، دەی چییان پێ بکەم؟	دەی میوانن، دەی چییان پێ بکەم؟	دە میوانن، دە چییان لێ بکەم؟	دە میوانن، دە چییان لێ بکەم؟	دەی مێوانن، دەی چەیان پێ کەم؟
Mother Mina said she has some work and would come back now.	دایە مینا وتی بڕێک ئیشم هەیە، ئێستە دێتەوە	دایە مینا وتی بڕێک ئیشم هەیە، ئێستە دێتەوە	دایە مینا گۆتی هەندەک ئیشم هەیە، ئیستا دێتەوە	دایە مینا کوتی نیسکێ کارم هەیە، ئێستە دێتەوە	دایە مینا وتی چکێ کارم هەس، ئیسە تێتەو
It's fine, eat your Dolma.	قەی ناکا دۆڵمەکەت بخۆ	قەی ناکا دۆڵمەکەت بخۆ	قەیدی ناکا دۆڵمەکەت بخۆ	قەیدێ ناکا دۆڵمەکەت بخۆ	قەی ناکا دۆڵمەکەت بخوە
Nothing much is left.	شتێکی نەماوە	شتێکی نەماوە	شتەکی نەمایە	شتێکی نەماوە	چتێکی نەماگە
But when is Nowruz?	بۆ نەورۆز کەیە؟	بۆ نەورۆز کەیە؟	لۆ نەورۆز کەنگینێیە؟	بۆ نەورۆز کەنگێیە؟	دەی نەورۆز کەیە بۆچە
It's a pity, it doesn't matter.	عەیبە، قەی ناکا	عەیبە، قەی ناکا	عەیبە، قەیدی ناکا	عەیبە، قەیدێ ناکا	شوورەییە، قەی ناکا
Just forget about it dear mother, come.	دە لێی گەڕێ دایە گیان، وەرە	دە لێی گەڕێ دایە گیان، وەرە	دە لێی گەڕێ دایە گیان، وەرە	دە لێی گەڕێ دایە گیان، وەرە	دەی وێڵی کە دایە گیان بێرەو
In the elevator, I feel dizzy. 	لە ناو مەسعەددا بەرچاوم سووڕ ئەخواتەوە	لە ناو مەسعەدا بەرچاوم سووڕ ئەخواتەوە	لە ناو مەسعەدی سەرم دەسووڕێ	لە نێو ئاسانسۆڕدا بەرچاوم سووڕ دەخواتەوە	لە ناو ئاسانسۆرا بەرچاوم سووڕ ئەخوا
You choose it yourself.	خۆت هەڵیبڕێژە	خۆت هەڵیبڕێژە	خۆت هەڵیبڕێژە	خۆت هەڵیبژێرە	خوەت ئێنتخابی کە
Don't mention it.	شایانی نییە	شایانی نییە	شایانی نییە	شتێکی ناقابلە	چت ناقابلێکە
My wife, please, how did you hand that raisin to him?	ژنەکە بە ساقەت بم ئا ئەم مێوژتە چۆن پێ گەیاند	ژنەکە بە ساقەو بم ئا ئەم مێوژتە چۆن پێ گەیاند	ژنەکە بە قوربانت بم ئەو کشمیشەت کوو گەیاندێ	ژنەکە بە قوربانت بم ئەو کیشمیشەت چۆن گەیاندێ	ژنەکە ساقەی سەرۆ ئام کشمیشتە چۆن گەیان پێ
That I get into the business.	پێم بچێتە ناو ئیشەکە	پێم بچێتە ناو ئیشەکە	پێم بچیتە ناو ئیشەکە	پێم بچێتە نێو ئیشەکە	پام بچێتە ناو کارەکە
Go away, I cannot stand it anymore.	لاچۆ ئیتر تاقەتم نەما	لاچۆ ئیتر تاقەتم نەما	دە لاکەوە چیدی تاقەتم نەما	دە لا ئیدی حەوسەلەم نێ	لاوە ئیتر حەوسەڵەم نەما
Come on, just sleep.	دە بخەوە دەی	دە بخەوە دەی	دە بنوو دەی	دە بنوو ب	دەی خەفە دەی
Done, wait I am leaving.	تەواو، بۆستە ئەوە ئەڕۆم	تەواو، بۆستە ئەوە ئەڕۆم	باشە، ڕاوەستە وا دەڕۆم	باشە، ڕاوەستە ئەوە دەڕۆم	باشە، بێسە ئاوە ئەچم
I don't dare coming to the other room.	ناوێرم بێمە ئەو دیو	ناوێرم بێمە ئەو دیو	ناوێرم بێمە ئەو دیوی	ناوێرم بێمە ئەو دیوی	ناوێرم بێمە ئەم دێو
They went for street fighting, they are beaten a lot and came back.	چوون بۆ شەڕی گەڕەک، تێروپڕیان لێ داون و هاتوونەتەوە	چوون بۆ شەڕی گەڕەک، تێروپڕیان لێ داون و هاتوونەتەوە	چووینە شەڕی گەڕەکێ، تێروپڕیان لێداینە و هاتینەوە	چوون بۆ شەڕی گەڕەک، تێروپڕیان لێ داون و هاتوونەتەوە	چووگن بۆ مەحەلەشەڕێ، تێرۆپڕیان داگە لێیان و هاتگنەسەو
It's fine, my dear, give a kiss to your dad.	قەی ناکا نازارەکەم، ماچێک بدە بە کاکەت	قەی ناکا نازارەکەم، ماچێک بە بە کاکەو	قەیدێ ناکا نازدارەکەم، ماچەکی بدە کاکەت	قەیدێ ناکا نازدارەکەم، ماچێک دەیە بە کاکەت	قەی نا نازارەکەم ماچێ بە کاکەو
Dear sir, may god heal you.	کاکە گیان خوا شیفات بدا	کاکە گیان خوا شیفاو با	کاکە گیان خوا شیفات دا	کاکە گیان خودا شەفات داتێ	کاکە گیان خوا شفاو با
yes indeed	بە سەر چاو	بە سەر چاو	بە سەر چاو	بە سەر چاو	بان چاو
Well, here it is, bring the tape and give it to me	کورە ها بێنە بمدەرێ شریتەکە	کورە ها بێنە بمەرێ شریتەکە	کورە ها بینە بمدێ شریتەکەی	کورە ها بێنە بمدەیە نەوارەکەی	کورە ها بێرا بیە پێم نەوارەکە
It's not like the way that you were thinking	ئەو شێوەیە کە تۆ بیرت ئەکردەوە واش نییە	ئەو شێوەیە کە تۆ بیرت ئەکردەوە واش نییە	ئەو نەوعەی کە ئەتوو فکرت دەکردەوە وەهاش نیە	ئەو جوورەی کە تۆ بیرت دەکردەوە واش نییە	ئەو جۆرە کە تۆ بیرت ئەکردەو وایشە نییە
Speak together	پێکەوە قسە بکەن	پێکەوە قسە بکەن	پێکەوە قسان بکەن	پێکەوە قسان بکەن	بەیەکەو قسە بکەن
Man, do you stop it or not?	ئەرێ بابە واز دێنی یان نە	ئەرێ بابە واز دێنی یان نە	ئەرێ بابە وازم لێدەینی یان نا	ئەرێ بابە لە کۆڵ دەبیەوە یان نا	ئەرێ باوا واز تێری یا نە
Take it away, that's childish	لایبەرە ئەوە مناڵانەیە	لایبەرە ئەوە مناڵانەیە	لایبە لا ئەوە مندارانەیە	لایبە لا ئەوە منداڵانەیە	لایوە دەی ئەوە مناڵانەس
God, how can I tell him?	ئەی هاوار چۆن پێی بڵێم	ئەی هاوار چۆن پێی بڵێم	ئەی هاوار کوو پیێ برێم 	ئەی هاوار چۆنی پێ بڵێم	ئەی هاوار چۆن پێ بێژم
Woman becomes annoyed, woman became vexed. Man gets angry.	ژن زیز ئەبێ ژن عاجز بوو. پیاو تووڕە ئەبێ.	ژن زیز ئەبێ ژن عاجز بوو. پیاو تووڕە ئەبێ.	ژن زیز دەبی ژن عاجز بوو. پیاو تووڕە دەبی.	ژن زیز دەبێ ژن عاجز بوو. پیاو تووڕە دەبێ.	ژن گیز ئەکا ژن عاجز ئەوێ. پیاگ تووڕە ئەوێ.
Don't worry, I am not going to the city this late in the night.	مەترسن بەو شەوە ناچم بۆ شار دڵنیا بن	مەترسن بەو شەوە ناچم بۆ شار دڵنیا بن	مەترسێن بەو شەوەی ناچمە شاری تەئکید بن	مەترسێن بەو شەوەی ناچمە شاری خاترجەم بن	مەترسن بەو شەوە ناچم بۆ شار خاترجەم بن
Just forget about it! What should you care? Just forget about it.	کورە دە لێی گەڕێ! عیلاقەت چییە؟ دە لێی گەڕێ	کورە دە لێی گەڕێ! عیلاقەت چییە؟ دە لێی گەڕێ	کورە دە لێی گەڕێ! عیلاقەت چییە؟ دە لێی گەڕێ	کورە دە لێی گەڕێ چت پێداوە دە لێی گەڕێ	کورە دەی وازی لێ بێرا! کارت چەس؟ وازی لێ بێرا
Whoever comes, that's the list I've written. Give it to him.	هەر کەسێک هات، ئەوە لیستەکەم نووسیوە. بیداتێ.	هەر کەسێک هات، ئەوە لیستەکەم نووسیوە. بیاتێ.	هەر کەسەک هات، ئەوە لیستەکەم نووسیە. بیداتێ.	هەر کەسەک هات، ئەوە لیستەکەم نووسیوە. بیداتێ.	هەر کەسێک هات، ئەوە لیستەکەم نووسیگە. بیات پێ.
You stupid, why don't you understand that a hundred people wish to join.	کورە گەوجە تۆ بۆ حاڵی نابی سەد کەس ئاواتەخوازن بێن	کورە گەوجە تۆ بۆ حاڵی نابی سەد کەس ئاواتەخوازن بێن	کورە گەوجە ئەتوو لۆ حاڵی نابی سەد کەس ئاواتی دەخوازن بێن	کورە گەوجە تۆ بۆ حاڵی نابی سەد کەس ئاواتەخوازن بێن	کورە گەوجە تۆ بۆچە حاڵی ناوی سە کەس ئاواتەخوازن بێن
Damn it! I swear it just disappeared now.	ئەی قوڕم بەسەر! بەخودا ئێستە لێم ون بوو	ئەی قوڕم بەسەر! بەخودا ئێستە لێم ون بوو	ئەی قوڕم بە سەر! بەخوای ئێستا لێم بزر بوو	ئەی قوڕم بە سەر! بەخودای ئەلحان لێم ون بوو	ئەی هەڕگ بە سەرم! بەخوا ئایسە گوم بوو لێم
And what do the neighbors say?	ئەی جیرانەکان ئەلێن چی؟	ئەی جیرانەکان ئەلێن چی؟	ئەی جیرانەکان دەرێن چ؟	ئەی جیرانەکان دەلێن چی؟	ئەی هاوساکان ئەیژن چە؟
And the other one has called and says a glass is broken.	ئەی ئەوی تر نووکەی کردووە ئەڵێ شووشە شکاوە	ئەی ئەوی تر نووکەی کردووە ئەڵێ شووشە شکاوە	ئێ ئەوی دیکە نووکەی لێدا دەرێ شووشە شکایە	ئێ ئەوی دیکە زەنگی لێدا دەڵێ شووشە شکاوە	ئەی ئەوەی تر زەنگی داگە ئەیژێ شیشە شکیاگە
They don't let us be embarrassed in front of everyone.	ناهێڵین شەرمەزاری خەڵک بین	ناهێڵین شەرمەزاری خەڵک بین	ناهێلین شەرمەزاری خەڵکی بین	ناهێڵین شەرمەزاری خەڵکی بین	نایڵن شەرمەندەی خەڵک بین
I should go today and get some money from them.	ئەبێ ئەمڕۆ بچم پارەیشیان لێ وەرگرم	ئەبێ ئەمڕۆ بچم پارەیشیان لێ وەرگرم	دەبی ئەوڕۆ بچم پارەشیان لێ وەرگرم	دەبێ ئەوڕۆ بچم پوڵیشیان لێ وەرگرم	ئەشێ ئیمڕۆ بچم پووڵیشیان لێ بسێنم
So stand up and call them.	دە هەڵسە تەلیفۆنێکی بۆ بکە	دە هەڵسە تەلیفۆنێکی بۆ بکە	دە هەستە تەلەفۆنەکی لۆ بکە	دە هەستە زەنگێکی بۆ لێدە	دەی هەڵسە زەنگێکیان بۆ لێ بە
That we smuggle and get strayed but god had mercy on us	قاچاخ بکەین و دەربەدەر بین کەچی خوا ڕەحمی پێ کردین	قاچاخ بکەین و دەربەدەر بین کەچی خوا ڕەحمی پێ کردین	قاچاخ بکەین و دەربەدەر بین کەچی خوا ڕەحمی پێ کردین	قاچاخ بکەین و دەربەدەر بین کەچی خودا ڕەحمی پێ کردین	قاچاخ بکەین و دەربەدەر بین جا خوا ڕەحمی پێمان کرد
Thank you very much! Of course you embarrassed me	ماڵتان ئاوا بێ! ئەرێ وەڵڵا ئابڕووتان بردم	ماڵتان ئاوا بێ! ئەرێ وەڵڵا ئابڕووتان بردم	مارتان ئاوا بی! ئەرێ وەڵا حەیاتان بردم	ماڵوو بەقوڕێ نەگیرێ! ئەرێ وەڵا ئابڕووتان بردم	ماڵتان ئاوا بێ! ئەرێ وەڵڵا ئاوڕوومتان برد
Man, what has happened to you? Don't worry.	ئەوە کاکە بۆ وات لێ هات؟ خەفەت مەخۆ	ئەوە کاکە بۆ وات لێ هات؟ خەفەت مەخۆ	ئەوە کاکە لۆ وەهات لێ هات؟ خەمێ مەخۆ	ئەوە کاکە بۆ وات لێ هات؟ خەمێ مەخۆ	ئەوە کاکە بۆچە واتە لێ هات؟ خەفەت مەخوە
Is it allowed to take it inside?	ئیجازە هەیە بێینە ژوورەوە؟	ئیجازە هەیە بێینە ژوورەوە؟	ئیجازە هەیە بێینە ژۆرێ	ئیجازە هەیە بێینە ژوورێ؟	ئیجازە هەس بینە ماڵەو؟
Well if they are coming, they are not going to eat us, wait a bit.	کورە خۆ دێن نامانخۆن بوەستە تۆزێک	کورە خۆ دێن نامانخۆن بوەستە تۆزێک	کورە خۆ دێن نامانخۆن ڕاوەستە هەندەک	کورە خۆ دێن نامانخۆن ڕاوەستە بڕێک	کورە خۆ تێن نامانخوەن بێسە چکێک
No, no, don't worry. It's alright, god is great.	نا نا مەگری هیچ نییە خوا گەورەیە	نا نا مەگری هیچ نییە خوا گەورەیە	نا نا مەگریێ هیچ نییە خوا گەورەیە	نا نا مەگری هیچ نییە خودا گەورەیە	نا نا مەگیرە هیچێ نییە خوا گەورەس
What do you care how many numbers I have?	تۆ عیلاقەت چییە چەن ژمارەم پێیە؟	تۆ عیلاقەت چییە چەن ژمارەم پێیە؟	ئەتوو حەقت چییە چەند ژمارەم پێیە؟	تو چ کارت داوە چەند ژمارەم پێیە؟	تۆ کارت چەس چەن شومارەم هەس؟
They used to take my blood twice a day.	لە ڕۆژێکدا دوو جار خوێنیان لێ ئەگرتم	لە ڕۆژێکا دوو جار خوێنیان لێ ئەگرتم	لە ڕۆژەکی دوو جار خینیان لێ وەردەگرتم	لە ڕۆژێکدا دوو جاریان خێن لێ دەگرتم	لە ڕۆژێکا دوو ڕا خوێنیان لێم ئەگرت
You bastard, I'll come and kick your ass so that you never get better again	هەتیو هەڵسم یەک شەقت تێهەڵئەدەم بە هیچ چاک نەبیتەوە	هەتیو هەڵسم یەک شەقو تێهەڵئەیەم بە هیچ چا نەبیتەوە	هەتیم هەرستم یەک شەقت لێدەدەم بە هیچ چا نەبیەوە	هەتیو هەڵدەستم یەک شەقت تێهەڵدەدەم بە هیچ چا نەبیتەوە	هەتیم هەڵئەسم یەک شەقو لێ ئام بە هیچێ خاسەو نەوی
They did makeup for him when he came back.	تەجمیلیان بۆ کرد کە هاتەوە	تەجمیلیان بۆ کرد کە هاتەوانێ	تەجمیلیان لۆ کرد کە هاتەوە	ئاڕایشیان کرد ئەگەر هاتەوە	ئارایشیان کرد وەختێ هاتەو
There are some such policies that are not worth a cress.	هەندێک سیاسەتی وا هەیە لەتێ تووری قوڕاوی ناهێنێ	هەنێ سیاسەتی وا هەیە لەتێ تووری قوڕاوی ناهێنێ	هەندەک سیاسەتی وا هەیە پارچە توورەکی قوڕاوی ناهینی	هەندێک سیاسەتی وا هەیە لەتێک تووری قوڕاوی ناهێنێ	بەعزێ سیاسەت هەس لەتە ترپێک هەڕگاوی ناژیت
I swear you to your father, what to you mean by that?	جا تو تەڵاقی باوکت، تو مەبەستت چییە لەو قسەیە؟	جا تو تەڵاقی باوکو، تو مەخسەو چییە لەو قسەیە؟	جا تو تەراقی بابت، مەخسەدت چییە لەو قسەیەی؟	جا توو تەڵاقی بابت، مەنزوورت چییە لەو قسەیە؟	جا تو تەڵاق باوکو، مەنزوورت چەس لەو قسە؟
Then how can I make you understand?	جا چۆنتان تێبگەیەنم ئێستا	جا چۆنتان تێگەیەنم ئێستا	ئەوجە کووتان تێبگەیەنم ئێستا	جا چۆنتان تێگەیەنم ئێستا	جا چۆن حاڵی بکەم ئیسە
Well, nothing, they have an electricity problem	وەڵای هیچ نییە موشکیلەی کارەبایان هەیە	وەڵای هیچ نییە موشکیلەی کارەبایان هەیە	وەڵای هیچ نییە مشکیلەی کارەبایان هەیە	وەڵا هیچ نێ موشکیلی بەرقیان هەیە	وەڵا هیچ نییە موشکڵ بەرقیان هەس
Give him a gift as he won	هەدیەیەکی بدەرێ مادەم بردوویەتەوە	هەدیەیەکی بدەرێ مادەم بردوویەتەوە	هەدیەکی بدێ مادەم بردیتیەوە	هەدیەیەکی دەیە ئەگەر بردوویەتەوە	هەدیەیکی پێ بە ئەگەر بردگیەسەو
Then I came from there and he was saying hi to you.	ئینجا بەوێدا هاتم سەلامی لە تۆ ئەکرد.	ئینجا بەوێا هاتم سەلامی لە تۆ ئەکرد.	ئەوجە بەوێدا هاتم سەلامی لە توو دەکرد.	جا ئەوێدا هاتم سەلامی لە تۆ دەکرد.	جا لێنەو هاتم سڵامی لە تۆ ئەکرد.
My dear! I came surreptitiously so that no one would see me.	حەیاتم! ئەوە بە دزی هاتوومە هەتا کەس نەمبینێ	حەیاتم! ئەوە بە دزی هاتوومە هەتا کەس نەمبینێ	حەیاتم! ئەوە بە دزی هاتیمە هەتا کەس نەمبینی	کەسم! ئەوە بە دزی هاتوومە هەتا کەس نەمبینێ	گیانەکەم! ئەوە بە دزی هاتگم هەتا کەس نەموێنێ